time,hip_angle,knee_angle,ankle_angle,hip_torque,knee_torque,ankle_torque
4.0390,-30.0000,124.6858,-39.6346,1.7453,-12.1160,-0.2881
4.0400,-30.0000,124.6880,-39.6345,1.7453,-12.1160,-0.2881
4.0410,-30.0000,124.6902,-39.6345,1.7453,-12.1160,-0.2881
4.0420,-30.0000,124.6924,-39.6345,1.7453,-12.1160,-0.2881
4.0430,-30.0000,124.6946,-39.6345,1.7453,-12.1160,-0.2881
4.0440,-30.0000,124.6968,-39.6345,1.7453,-12.1160,-0.2881
4.0450,-30.0000,124.6990,-39.6345,1.7453,-12.1160,-0.2881
4.0460,-30.0000,124.7012,-39.6345,1.7453,-12.1160,-0.2881
4.0470,-30.0000,124.7033,-39.6345,1.7453,-12.1160,-0.2881
4.0480,-30.0000,124.7055,-39.6344,1.7453,-12.1160,-0.2881
4.0490,-30.0000,124.7077,-39.6344,1.7453,-12.1160,-0.2882
4.0500,-30.0000,124.7098,-39.6344,1.7453,-12.1160,-0.2882
4.0510,-30.0000,124.7120,-39.6344,1.7453,-12.1160,-0.2882
4.0520,-30.0000,124.7141,-39.6344,1.7453,-12.1160,-0.2882
4.0530,-30.0000,124.7162,-39.6344,1.7453,-12.1160,-0.2882
4.0540,-30.0000,124.7184,-39.6344,1.7453,-12.1160,-0.2882
4.0550,-30.0000,124.7205,-39.6344,1.7453,-12.1160,-0.2882
4.0560,-30.0000,124.7226,-39.6343,1.7453,-12.1160,-0.2882
4.0570,-30.0000,124.7247,-39.6343,1.7453,-12.1160,-0.2882
4.0580,-30.0000,124.7268,-39.6343,1.7453,-12.1160,-0.2882
4.0590,-30.0000,124.7289,-39.6343,1.7453,-12.1160,-0.2882
4.0600,-30.0000,124.7310,-39.6343,1.7453,-12.1160,-0.2882
4.0610,-30.0000,124.7330,-39.6343,1.7453,-12.1160,-0.2882
4.0620,-30.0000,124.7351,-39.6343,1.7453,-12.1160,-0.2882
4.0630,-30.0000,124.7372,-39.6343,1.7453,-12.1160,-0.2883
4.0640,-30.0000,124.7393,-39.6342,1.7453,-12.1160,-0.2883
4.0650,-30.0000,124.7413,-39.6342,1.7453,-12.1160,-0.2883
4.0660,-30.0000,124.7434,-39.6342,1.7453,-12.1160,-0.2883
4.0670,-30.0000,124.7454,-39.6342,1.7453,-12.1160,-0.2883
4.0680,-30.0000,124.7474,-39.6342,1.7453,-12.1160,-0.2883
4.0690,-30.0000,124.7495,-39.6342,1.7453,-12.1160,-0.2883
4.0700,-30.0000,124.7515,-39.6342,1.7453,-12.1160,-0.2883
4.0710,-30.0000,124.7535,-39.6342,1.7453,-12.1160,-0.2883
4.0720,-30.0000,124.7555,-39.6341,1.7453,-12.1160,-0.2883
4.0730,-30.0000,124.7575,-39.6341,1.7453,-12.1160,-0.2883
4.0740,-30.0000,124.7595,-39.6341,1.7453,-12.1160,-0.2883
4.0750,-30.0000,124.7615,-39.6341,1.7453,-12.1160,-0.2883
4.0760,-30.0000,124.7635,-39.6341,1.7453,-12.1160,-0.2883
4.0770,-30.0000,124.7655,-39.6341,1.7453,-12.1160,-0.2884
4.0780,-30.0000,124.7675,-39.6341,1.7453,-12.1160,-0.2884
4.0790,-30.0000,124.7695,-39.6341,1.7453,-12.1160,-0.2884
4.0800,-30.0000,124.7714,-39.6341,1.7453,-12.1160,-0.2884
4.0810,-30.0000,124.7734,-39.6340,1.7453,-12.1160,-0.2884
4.0820,-30.0000,124.7753,-39.6340,1.7453,-12.1160,-0.2884
4.0830,-30.0000,124.7773,-39.6340,1.7453,-12.1160,-0.2884
4.0840,-30.0000,124.7792,-39.6340,1.7453,-12.1160,-0.2884
4.0850,-30.0000,124.7812,-39.6340,1.7453,-12.1160,-0.2884
4.0860,-30.0000,124.7831,-39.6340,1.7453,-12.1160,-0.2884
4.0870,-30.0000,124.7850,-39.6340,1.7453,-12.1160,-0.2884
4.0880,-30.0000,124.7869,-39.6340,1.7453,-12.1160,-0.2884
4.0890,-30.0000,124.7888,-39.6340,1.7453,-12.1160,-0.2884
4.0900,-30.0000,124.7908,-39.6339,1.7453,-12.1160,-0.2884
4.0910,-30.0000,124.7927,-39.6339,1.7453,-12.1160,-0.2885
4.0920,-30.0000,124.7946,-39.6339,1.7453,-12.1160,-0.2885
4.0930,-30.0000,124.7964,-39.6339,1.7453,-12.1160,-0.2885
4.0940,-30.0000,124.7983,-39.6339,1.7453,-12.1160,-0.2885
4.0950,-30.0000,124.8002,-39.6339,1.7453,-12.1160,-0.2885
4.0960,-30.0000,124.8021,-39.6339,1.7453,-12.1160,-0.2885
4.0970,-30.0000,124.8039,-39.6339,1.7453,-12.1160,-0.2885
4.0980,-30.0000,124.8058,-39.6339,1.7453,-12.1160,-0.2885
4.0990,-30.0000,124.8077,-39.6338,1.7453,-12.1160,-0.2885
4.1000,-30.0000,124.8095,-39.6338,1.7453,-12.1160,-0.2885
4.1010,-30.0000,124.8114,-39.6338,1.7453,-12.1160,-0.2885
4.1020,-30.0000,124.8132,-39.6338,1.7453,-12.1160,-0.2885
4.1030,-30.0000,124.8150,-39.6338,1.7453,-12.1160,-0.2885
4.1040,-30.0000,124.8169,-39.6338,1.7453,-12.1160,-0.2885
4.1050,-30.0000,124.8187,-39.6338,1.7453,-12.1160,-0.2885
4.1060,-30.0000,124.8205,-39.6338,1.7453,-12.1160,-0.2886
4.1070,-30.0000,124.8223,-39.6338,1.7453,-12.1160,-0.2886
4.1080,-30.0000,124.8241,-39.6337,1.7453,-12.1160,-0.2886
4.1090,-30.0000,124.8259,-39.6337,1.7453,-12.1160,-0.2886
4.1100,-30.0000,124.8277,-39.6337,1.7453,-12.1160,-0.2886
4.1110,-30.0000,124.8295,-39.6337,1.7453,-12.1160,-0.2886
4.1120,-30.0000,124.8313,-39.6337,1.7453,-12.1160,-0.2886
4.1130,-30.0000,124.8331,-39.6337,1.7453,-12.1160,-0.2886
4.1140,-30.0000,124.8349,-39.6337,1.7453,-12.1160,-0.2886
4.1150,-30.0000,124.8366,-39.6337,1.7453,-12.1160,-0.2886
4.1160,-30.0000,124.8384,-39.6337,1.7453,-12.1160,-0.2886
4.1170,-30.0000,124.8402,-39.6336,1.7453,-12.1160,-0.2886
4.1180,-30.0000,124.8419,-39.6336,1.7453,-12.1160,-0.2886
4.1190,-30.0000,124.8437,-39.6336,1.7453,-12.1160,-0.2886
4.1200,-30.0000,124.8454,-39.6336,1.7453,-12.1160,-0.2886
4.1210,-30.0000,124.8471,-39.6336,1.7453,-12.1160,-0.2886
4.1220,-30.0000,124.8489,-39.6336,1.7453,-12.1160,-0.2887
4.1230,-30.0000,124.8506,-39.6336,1.7453,-12.1160,-0.2887
4.1240,-30.0000,124.8523,-39.6336,1.7453,-12.1160,-0.2887
4.1250,-30.0000,124.8540,-39.6336,1.7453,-12.1160,-0.2887
4.1260,-30.0000,124.8558,-39.6336,1.7453,-12.1160,-0.2887
4.1270,-30.0000,124.8575,-39.6335,1.7453,-12.1160,-0.2887
4.1280,-30.0000,124.8592,-39.6335,1.7453,-12.1160,-0.2887
4.1290,-30.0000,124.8609,-39.6335,1.7453,-12.1160,-0.2887
4.1300,-30.0000,124.8626,-39.6335,1.7453,-12.1160,-0.2887
4.1310,-30.0000,124.8642,-39.6335,1.7453,-12.1160,-0.2887
4.1320,-30.0000,124.8659,-39.6335,1.7453,-12.1160,-0.2887
4.1330,-30.0000,124.8676,-39.6335,1.7453,-12.1160,-0.2887
4.1340,-30.0000,124.8693,-39.6335,1.7453,-12.1160,-0.2887
4.1350,-30.0000,124.8709,-39.6335,1.7453,-12.1160,-0.2887
4.1360,-30.0000,124.8726,-39.6334,1.7453,-12.1160,-0.2887
4.1370,-30.0000,124.8743,-39.6334,1.7453,-12.1160,-0.2887
4.1380,-30.0000,124.8759,-39.6334,1.7453,-12.1160,-0.2887
4.1390,-30.0000,124.8776,-39.6334,1.7453,-12.1160,-0.2888
4.1400,-30.0000,124.8792,-39.6334,1.7453,-12.1160,-0.2888
4.1410,-30.0000,124.8808,-39.6334,1.7453,-12.1160,-0.2888
4.1420,-30.0000,124.8825,-39.6334,1.7453,-12.1160,-0.2888
4.1430,-30.0000,124.8841,-39.6334,1.7453,-12.1160,-0.2888
4.1440,-30.0000,124.8857,-39.6334,1.7453,-12.1160,-0.2888
4.1450,-30.0000,124.8873,-39.6334,1.7453,-12.1160,-0.2888
4.1460,-30.0000,124.8890,-39.6333,1.7453,-12.1160,-0.2888
4.1470,-30.0000,124.8906,-39.6333,1.7453,-12.1160,-0.2888
4.1480,-30.0000,124.8922,-39.6333,1.7453,-12.1160,-0.2888
4.1490,-30.0000,124.8938,-39.6333,1.7453,-12.1160,-0.2888
4.1500,-30.0000,124.8954,-39.6333,1.7453,-12.1160,-0.2888
4.1510,-30.0000,124.8969,-39.6333,1.7453,-12.1160,-0.2888
4.1520,-30.0000,124.8985,-39.6333,1.7453,-12.1160,-0.2888
4.1530,-30.0000,124.9001,-39.6333,1.7453,-12.1160,-0.2888
4.1540,-30.0000,124.9017,-39.6333,1.7453,-12.1160,-0.2888
4.1550,-30.0000,124.9033,-39.6333,1.7453,-12.1160,-0.2888
4.1560,-30.0000,124.9048,-39.6333,1.7453,-12.1160,-0.2888
4.1570,-30.0000,124.9064,-39.6332,1.7453,-12.1160,-0.2889
4.1580,-30.0000,124.9079,-39.6332,1.7453,-12.1160,-0.2889
4.1590,-30.0000,124.9095,-39.6332,1.7453,-12.1160,-0.2889
4.1600,-30.0000,124.9110,-39.6332,1.7453,-12.1160,-0.2889
4.1610,-30.0000,124.9126,-39.6332,1.7453,-12.1160,-0.2889
4.1620,-30.0000,124.9141,-39.6332,1.7453,-12.1160,-0.2889
4.1630,-30.0000,124.9156,-39.6332,1.7453,-12.1160,-0.2889
4.1640,-30.0000,124.9172,-39.6332,1.7453,-12.1160,-0.2889
